761;TechPUPS
766;M-A Bears
771;SWAT
772;Sabre Bytes Robotics
781;Kinetic Knights
801;Horsepower
806;The Brooklyn Blacksmiths
810;The Mechanical Bulls
811;Wild Cards
812;The Midnight Mechanics
815;Advanced Power
816;Anomaly
818;The Steel Armadillos
829;The Digital Goats
830;The RatPack
832;OSCAR
834;SparTechs
836;The RoboBees
839;Rosie Robotics
840;Aragon Robotics Team
841;The BioMechs
846;The Funky Monkeys
847;PHRED
852;ARC Robotics
854;Iron Bears
857;Superior Roboworks
858;Demons Robotics
862;Lightning Robotics
865;WARP7
867;Absolute Value
868;TechHOUNDS
870;TEAM  R. I. C. E.
871;Robotechs
876;Thunder Robotics
877;Pi Rho 'botics @ North Star
884;Mechanical Mules
888;Robotiators
894;The Power Chargers
900;The Zebracorns
904;D Cubed
910;The Foley Freeze
919;PANTHERA TIGRIS
930;Mukwonago BEARs
931;Perpetual Chaos
935;RaileRobotics
937;Nerd Herd
948;NRG (Newport Robotics Group)
949;Wolverine Robotics
955;Ctrl C
957;SWARM - South and West Albany Robotics Maniacs
967;Iron Lions
968;RAWC (Robotics Alliance Of West Covina)
971;Spartan Robotics
972;Iron Claw
973;Greybots
977;Cometbots
980;ThunderBots
987;HIGHROLLERS
988;Steel Phoenix
991;BroncoBots
996;Mecha Knights
997;Spartan Robotics
999;MechaRAMS
1002;CircuitRunners Robotics
1011;CRUSH
1014;Bad Robots
1018;Pike RoboDevils
1023;Bedford Express
1024;Kil-A-Bytes
1025;Impi Warriors
1027;Mechatronic Maniacs
1038;Lakota Robotics
1051;Technical Terminators
1056;Hot Rocks
1058;PVC Pirates
1071;Team MAX
1072;Harker Robotics
1073;The Force Team
1076;PiHi Samurai
1086;Blue Cheese
1089;Team Mercury
1091;Oriole Assault
1099;DiscoTechs
1100;Inverse Polarity
1102;M'Aiken Magic
1108;Panther Robotics
1111;Power Hawks Robotics
1114;Simbotics
1119;Pup Cups
1126;SPARX
1138;Eagle Engineering
1148;Harvard Westlake Robotics
1153;Timberwolves
1155;SciBorgs
1156;Under Control
1159;Ramona Rampage
1160;Titanium Robotics
1164;Project NEO
1165;Team Paradise
1168;Malvern Robotics
1178;DURT  (De Smet United Robotics Team)
1188;The Ravens
1189;Gearheads
1197;TorBots
1208;Metool Brigade
1209;RoboHornets
1212;Sentinels
1218;SCH Robotics
1220;Rockhoppers - Hilltopper Robotics
